Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"40A Brushless(Brand) ESC","This is the ESC the thurster motor connects to this which connects to the F.C",1,14.30,"https://www.amazon.com/Brushless-Controller-Airplanes-Multi-axis-Helicopter/dp/B0CN317H74/ref=sr_1_3?crid=2D2B0ZFBMZ329&dib=eyJ2IjoiMSJ9.tGE8Vn9UvYYXjKTF6lIqPQouPGLKYwRrn6aG6kRxOIdv8L8-U9vg1tKXZ8ImrQlSP88VgR2FwoqyUoa0u5aFhe_FzFoIRrdCKWB5R6hauHErpUZlzf_v3N95pr7CnoTHDgy8vA8GItyBJLRwPOejkCzku4Xd49zxg-5roI71Oeq9dvZhIjzvVZcqmj5cSTrT_DEjbaAg_BHtXXhaEMfpLVrs2zdylOoyCHSrDlkXyro.s2bc63ec9ZPzWTrGIOWc9-R6GCihaypZBnrqBo544cY&dib_tag=se&keywords=ESC&qid=1774320505&sprefix=esc%2Caps%2C188&sr=8-3","Amazon"
"APC 8x4.5MRP Propeller ","This is the thurster propeller spare are added so that in cases of crashes during testing i have three lives.",1,11.00,"https://www.amazon.com/uxcell-Propellers-Fixed-Wing-Airplane-Adapter/dp/B07YYVL14V?source=ps-sl-shoppingads-lpcontext&ref_=bing_fplfs&psc=1&utm_source=copilot.com&tag=copilot-web-20&cor_id=ec9775ba-754f-40d4-aecb-486b2fd2413b&p=AmsClickCorrelationId%3A629741e4-a880-4a06-992c-2c2af49f621c","Amazon"
"FLASH HOBBY D2830EVO 1000KV RC ","This is the thurster motor for the plane it is strong and efficentPdocusing about 1 kg of thurst with an 8 inch properller",1,23.00,"https://www.amazon.com/gp/product/B09J4VX3CY/ref=ox_sc_act_title_10?smid=A1EGBP9OE48FOI&psc=1","Amazon"
"BN-880 GPS module","This is a GPS module with compass module this is needed for auto nvaigation, calcuating cross wind, and other deviations caused by external factors",1,25.30,"https://www.amazon.com/DIYmalls-Receiver-38400bps-Arduino-Aircraft/dp/B0BTM41627/ref=sr_1_1_sspa?crid=1A9H50OVFDOW3&dib=eyJ2IjoiMSJ9.bJP5GRYQuk8uZ2wjmqbrClP-Uj6qlHdHgeAmGwvhO5qYcVOU9gsWtGLnk4pkLKXptQtXdHQ2MCSjjL8eBpo2Wla4vfFIDmOZ0Jbl7jQLazcGh7_TjuHBtm2LNboMAYmSmBzcsjOmkaKzBFNSwuLtREdpX40HSCStWPSemWw5rYJ93UgqflLVncY6yeqgW06PGParW2VkyOB1-gQTrjmF8suQTiLHg2rg_ZXxulgvh8w.7vXA3w1kWv3jxUeEfwmLw2lonKICfk08toBAb4eWMyE&dib_tag=se&keywords=Beitian%2BBN-220%2BGPS&qid=1774306246&sprefix=beitian%2Bbn-220%2Bgps%2Caps%2C173&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1","Amazon"
"Push Rods","So the the servos can control the flaps in a manner that would fail when in flight. Best part is they also inculde control horn the part that attached to the servos roating end and the moving flap.",1,11.00,"https://www.amazon.com/0-047x10-24-Pushrods-0-79x0-43-Airplane-Aircraft/dp/B07X7PCV38/ref=sr_1_1_sspa?crid=QROK6CRBIUYH&dib=eyJ2IjoiMSJ9.9wa0wQEqy9YN4Ijrr_h9A7fg3ehID7PjIxBYO6Ge4SwJ-id-DRcxfMYbwPjozii-ZtL-mCAHn-XqnkZDlkm6hDiZslU66XIUpAMYHgRq4z6Ctx15O_MBP9j91V4VGuAZzq6Y0256uI_Msx9-ZLtzefEyuGHgTtwtvJ3gaJqSZDYToFzCwqTPpTbrKwHM8Zb7s4rWsuOA4JYUWigjjIe0Lnj3be4PtiapPDIzDKpoRh4.h5driBRxNxLabScs1_L6baUi1rqDSARCMwVckcPjG_w&dib_tag=se&keywords=pushrods&qid=1774042430&sprefix=pushrods%2Caps%2C214&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1","Amazon"
"Basic LiPo Balance Charger","To charge the LIPO battery that will power all of the electronics. A crappy charger can set the house on fire.(this is the bare min.)",1,16.50,"https://www.amazon.com/ISDT-Battery-Balance-Charger-Battery%EF%BC%8CLife/dp/B08F7C1T2T/ref=sxin_17_pa_sp_search_thematic_sspa?adgrpid=194915525228&content-id=amzn1.sym.141f5c48-2844-433f-b731-f8ecc97a5095%3Aamzn1.sym.141f5c48-2844-433f-b731-f8ecc97a5095&cv_ct_cx=4s+lipo+balance+charger&hvadid=779619640254&hvdev=c&hvexpln=0&hvlocphy=9033285&hvnetw=g&hvocijid=15208937837762282768--&hvqmt=e&hvrand=15208937837762282768&hvtargid=kwd-345557721286&hydadcr=4122_13167943_10181&keywords=4s+lipo+balance+charger&mcid=106fbc49c33a3707a6e49ff3b2245034&pd_rd_i=B08F7C1T2T&pd_rd_r=dcc0a426-039e-4618-bc40-e6ba4eb43747&pd_rd_w=DC2je&pd_rd_wg=ONM2l&pf_rd_p=141f5c48-2844-433f-b731-f8ecc97a5095&pf_rd_r=TEVB93YP5QGQDKXAKEAA&qid=1774294690&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-1-6024b2a3-78e4-4fed-8fed-e1613be3bcce-spons&aref=HRtelGGO8R&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&psc=1","Amazon"
"OVONIC 4s Lipo Battery 35C 2200mAh 14.8V Lipo","The purpose is to power all of the electronis on board",1,22.00,"https://www.amazon.com/OVONIC-2200mAh-Battery-Airplane-Helicopter/dp/B08R71SWJ3/ref=sr_1_1?crid=3AY6AS0R982A1&dib=eyJ2IjoiMSJ9.9Sm9m49aTNklxXTjSOt69YkyMcFylT3BvwmGtipbf5awNn79OZbytUwbxTlJv4ktSWIbt4HtMOpttd-9aFWq_Ff7eXyttHH4MZWU6naSnOIYfk0eLb9w-DZ8XyhV3pcowWnMtj_eooNGcxVcWJs-JryCQj511C5zSmdw3zI6ZO5-SL_LfETZjUUHFpPDBuJcb_lf8QZvh99sV7bsDkEU163rX5Sge2bj8lo6fyr1KAzlWrfX4vbda_RK2UQB8F5Qm7_e8zRu8uTnosB2uTXp-5O8BP43GD_RiAmwI9Xg7Wo.S0_jeuTem8CcLR8WrBnJHmbOAoOwNgoWTEw4X5YNzpQ&dib_tag=se&keywords=4S+3300mAh+-+4000mAh&qid=1774287526&sprefix=4s+3300mah+-+4000mah%2Caps%2C186&sr=8-1","Amazon"
"MG90s","These servos are the alienrons and rudder controls. They are on the pricy side but explained in second journal why i chose these",1,15.40,"https://www.amazon.com/Miuzei-Geared-Helicopter-Arduino-Project/dp/B0CP98TZJ2?th=1","Amazon"
"RadioMaster RP1 V2 2.4ghz ExpressLRS ELRS Nano Receiver","(Talks to the controller and plugs into the Flight Controller). To receive signals onboard form the controller",1,21.00,"https://www.amazon.com/gp/product/B0DYHNFRP9/ref=ox_sc_act_title_3?smid=A2XELMX9VDB1ZC&psc=1","Amazon"
"RadioMaster T8L ExpressLRS","This is the radio controller to send command to the plane via driver mode",1,55.00,"https://www.amazon.com/gp/product/B0GMLWKPVV/ref=ox_sc_act_title_1?smid=A2YGVOB7APVMLY&psc=1","Amazon"
